instance,run,seed,island,model,percentile,threshold,objective,val_samples
rotatingDiamonds1,8,71,6,KNN,50,-20.6,0.218,40
rotatingDiamonds1,8,71,4,SSVM,50,-0.798349,0.365,39
rotatingDiamonds1,8,71,0,COX,70,1.151827,0.2735,40
rotatingDiamonds1,8,71,1,RSF,50,66.120313,0.128,40
rotatingDiamonds1,8,71,2,GBSA,50,0.143527,0.1857,40
rotatingDiamonds1,8,71,5,WEIBULLAFT,90,-11.552128,0.0147,39
rotatingDiamonds1,8,71,3,DEEPSURV,50,50.0,0.2032,40
rotatingDiamonds1,8,71,8,MTLR,55,0.950151,0.0323,40
rotatingDiamonds1,9,81,6,KNN,90,-10.913333,0.0528,40
rotatingDiamonds1,9,81,4,SSVM,95,-0.461118,0.0426,38
rotatingDiamonds1,9,81,7,ELASTICNET,55,0.072876,0.1235,40
rotatingDiamonds1,9,81,0,COX,55,1.059857,0.1008,40
rotatingDiamonds1,9,81,1,RSF,80,84.758876,0.1869,40
rotatingDiamonds1,9,81,2,GBSA,50,0.175856,0.0725,40
rotatingDiamonds1,9,81,5,WEIBULLAFT,50,-11.690924,0.5756,38
rotatingDiamonds1,9,81,8,MTLR,90,0.998908,-0.0107,40
rotatingDiamonds1,9,81,3,DEEPSURV,55,55.0,0.0529,40
team4_400,10,91,1,RSF,70,85.381621,0.1645,40
team4_400,10,91,3,DEEPSURV,85,85.0,0.0874,40
team4_400,10,91,7,ELASTICNET,50,-0.006108,0.0606,46
team4_400,10,91,8,MTLR,95,0.986774,0.0588,44
team4_400,10,91,0,COX,50,0.996661,0.2105,50
team4_400,10,91,6,KNN,60,-19.133333,0.0221,50
team4_400,10,91,2,GBSA,85,1.513399,0.106,50
team4_400,10,91,4,SSVM,80,-3.250233,0.0734,48
team4_400,10,91,5,WEIBULLAFT,55,-12.239525,0.4184,47
team4_400,1,1,7,ELASTICNET,50,0.022175,0.1173,40
team4_400,1,1,0,COX,95,1.413517,0.0452,40
team4_400,1,1,6,KNN,50,-19.2,0.3657,41
team4_400,1,1,2,GBSA,50,0.110127,0.5694,46
team4_400,1,1,4,SSVM,50,-3.841645,0.2398,47
team4_400,1,1,1,RSF,50,85.168677,0.2193,50
team4_400,1,1,5,WEIBULLAFT,50,-11.48094,0.2233,48
team4_400,1,1,8,MTLR,55,0.979736,0.2105,47
team4_400,1,1,3,DEEPSURV,50,50.0,0.4065,49
team4_400,2,11,0,COX,50,1.006968,0.2484,40
team4_400,2,11,2,GBSA,50,0.047107,0.422,43
team4_400,2,11,8,MTLR,65,0.930545,-0.0584,42
team4_400,2,11,7,ELASTICNET,65,0.085878,0.0602,48
team4_400,2,11,6,KNN,80,-12.64,0.1149,50
