instance,run,cohort_rank,relative_gain
concentricCircles4,run-1783974319_i0,0.5263157894736842,0.2052303134379418
concentricCircles4,run-1783974319_i0,0.058823529411764705,0.014496283804884071
concentricCircles4,run-1783974319_i0,0.24,0.12342320013952773
concentricCircles4,run-1783974319_i0,0.16666666666666666,0.12975391085163085
concentricCircles4,run-1783974319_i0,0.2222222222222222,0.11664378740850587
concentricCircles4,run-1783974319_i0,1.0,0.5518382072068249
concentricCircles4,run-1783974319_i0,1.0,0.3243931264045057
concentricCircles4,run-1783974319_i0,0.23076923076923078,0.16298611503076132
concentricCircles4,run-1783974319_i0,0.9411764705882353,0.24414665968346247
concentricCircles4,run-1783974319_i0,0.09523809523809523,0.03692778080055865
concentricCircles4,run-1783974319_i0,0.20833333333333334,0.11246784657460954
concentricCircles4,run-1783974319_i0,0.2727272727272727,0.16964617064817458
concentricCircles4,run-1783974319_i0,0.15,0.15160549390302885
concentricCircles4,run-1783974319_i0,0.6,0.2271206542956686
concentricCircles4,run-1783974319_i0,0.14285714285714285,0.1443645022718488
concentricCircles4,run-1783974319_i0,0.045454545454545456,0.12084086791316641
concentricCircles4,run-1783974319_i0,0.5,0.21077288893678933
concentricCircles4,run-1783974319_i0,0.15789473684210525,0.09113479910756846
concentricCircles4,run-1783974319_i0,0.6111111111111112,0.23642196001750873
concentricCircles4,run-1783974319_i0,0.5555555555555556,0.20902035804088315
concentricCircles4,run-1783974319_i0,0.058823529411764705,0.0478151702911757
concentricCircles4,run-1783974319_i0,0.19230769230769232,0.13473499389935423
concentricCircles4,run-1783974319_i0,0.043478260869565216,0.0426121444816109
concentricCircles4,run-1783974319_i0,0.6363636363636364,0.22879998946767316
concentricCircles4,run-1783974319_i0,0.2916666666666667,0.17717450753991326
concentricCircles4,run-1783974319_i0,0.24,0.22067177744408442
concentricCircles4,run-1783974319_i0,0.3333333333333333,0.201069358911013
concentricCircles4,run-1783974319_i0,0.25,0.18293841646281628
concentricCircles4,run-1783974319_i0,0.08695652173913043,0.0661766177818882
concentricCircles4,run-1783974319_i0,0.5416666666666666,0.21586784243845733
concentricCircles4,run-1783974319_i0,0.5714285714285714,0.21823987933957106
concentricCircles4,run-1783974319_i0,0.15789473684210525,0.1482632837440882
concentricCircles4,run-1783974319_i0,0.11764705882352941,0.1206725422208099
concentricCircles4,run-1783974319_i0,0.6190476190476191,0.2140325703903731
concentricCircles4,run-1783974319_i0,0.6956521739130435,0.23916899114815954
concentricCircles4,run-1783974319_i0,0.16666666666666666,0.13796874943784251
concentricCircles4,run-1783974319_i0,0.9545454545454546,0.31879475769274485
concentricCircles4,run-1783974319_i0,0.8695652173913043,0.3326493561442491
concentricCircles4,run-1783974319_i0,0.21739130434782608,0.18620844643114237
concentricCircles4,run-1783974319_i0,0.8695652173913043,0.2979220095535492
concentricCircles4,run-1783974319_i0,0.23809523809523808,0.17612744078012482
concentricCircles4,run-1783974319_i0,0.15,0.14894360305730883
concentricCircles4,run-1783974319_i0,0.8421052631578947,0.2590821666450857
concentricCircles4,run-1783974319_i0,0.8235294117647058,0.28531532370190416
concentricCircles4,run-1783974319_i0,0.875,0.27712079826957386
concentricCircles4,run-1783974319_i0,0.43478260869565216,0.2320309778057591
concentricCircles4,run-1783974319_i0,0.1111111111111111,0.10470364550060951
