instance,run,target_kappa,repeat,achieved_kappa,C
bubbles1,run-1782686494_i9,0.9,1,0.8971868896440369,0.522510603525429
bubbles1,run-1782686494_i9,0.9,2,0.910338940003167,0.5280186271262397
bubbles1,run-1782686494_i9,0.9,3,0.8925133360110005,0.5339695027195027
bubbles1,run-1782686494_i9,0.9,4,0.8943643299145653,0.5252663592852895
bubbles1,run-1782686494_i9,0.95,0,0.9461722222408662,0.5073036270636992
bubbles1,run-1782686494_i9,0.95,1,0.9524902302790028,0.5105885789396816
bubbles1,run-1782686494_i9,0.95,2,0.9505388596886083,0.5059467127893192
bubbles1,run-1782686494_i9,0.95,3,0.955019647315922,0.4916400498578273
bubbles1,run-1782686494_i9,0.95,4,0.9404928891743817,0.5011226453607045
bubbles1,run-1782686546_i9,0.0,0,-0.05002608841347766,0.7522285562230705
bubbles1,run-1782686546_i9,0.0,1,0.07586473204407994,0.7321337650964339
bubbles1,run-1782686546_i9,0.0,2,0.004415946891911727,0.7259852279307928
bubbles1,run-1782686546_i9,0.0,3,-0.06369057731859082,0.7415935185849047
bubbles1,run-1782686546_i9,0.0,4,-0.015318242227302204,0.7428384951916703
bubbles1,run-1782686546_i9,0.1,0,0.039233433810922855,0.7297945275357587
bubbles1,run-1782686546_i9,0.1,1,0.11097289126767809,0.7182794164126302
bubbles1,run-1782686546_i9,0.1,2,0.10748475638962163,0.7155947423614576
bubbles1,run-1782686546_i9,0.1,3,0.06453899895508315,0.7201486821816251
bubbles1,run-1782686546_i9,0.1,4,0.04384264686279935,0.7134255492270138
bubbles1,run-1782686546_i9,0.2,0,0.1559309695712759,0.6993422329353366
bubbles1,run-1782686546_i9,0.2,1,0.2385406569866205,0.6729086793376295
bubbles1,run-1782686546_i9,0.2,2,0.14955493409075443,0.70075216361855
bubbles1,run-1782686546_i9,0.2,3,0.21772532016281057,0.6934220830070478
bubbles1,run-1782686546_i9,0.2,4,0.21073923584692203,0.7045424500960962
bubbles1,run-1782686546_i9,0.3,0,0.3456792820866217,0.6681358661313006
bubbles1,run-1782686546_i9,0.3,1,0.32547997694626124,0.6630030109451927
bubbles1,run-1782686546_i9,0.3,2,0.3173165487953734,0.6765204589298406
bubbles1,run-1782686546_i9,0.3,3,0.29607313583011796,0.6881172396836455
bubbles1,run-1782686546_i9,0.3,4,0.25283200048014115,0.6892727421132107
bubbles1,run-1782686546_i9,0.4,0,0.4097918854755635,0.6593398762013357
bubbles1,run-1782686546_i9,0.4,1,0.4725315260641154,0.6383394980588757
bubbles1,run-1782686546_i9,0.4,2,0.4145316456170579,0.6448502131052034
bubbles1,run-1782686546_i9,0.4,3,0.3733784570248223,0.671614535512436
bubbles1,run-1782686546_i9,0.4,4,0.36083397072533463,0.6763029564157269
bubbles1,run-1782686546_i9,0.5,0,0.505393966120429,0.6349647794401251
bubbles1,run-1782686546_i9,0.5,1,0.4919888235962354,0.6432875403905949
bubbles1,run-1782686546_i9,0.5,2,0.4687526516584598,0.6491712988933653
bubbles1,run-1782686546_i9,0.5,3,0.522489383120249,0.6358936862127503
bubbles1,run-1782686546_i9,0.5,4,0.5111455670409806,0.6308856388381069
bubbles1,run-1782686546_i9,0.6,0,0.6326604382988628,0.6031694400113847
bubbles1,run-1782686546_i9,0.6,1,0.6050395109468184,0.6099731722991237
bubbles1,run-1782686546_i9,0.6,2,0.6114615269676584,0.6216984695804874
bubbles1,run-1782686546_i9,0.6,3,0.5734357545702199,0.6230454471610755
bubbles1,run-1782686546_i9,0.6,4,0.6140821488737686,0.6015348348317703
bubbles1,run-1782686546_i9,0.7,0,0.683131274160802,0.6035168771433514
bubbles1,run-1782686546_i9,0.7,1,0.6844231660085248,0.6281396295542439
bubbles1,run-1782686546_i9,0.7,2,0.6460698830958347,0.5965716725804976
bubbles1,run-1782686546_i9,0.7,3,0.6747673197646358,0.6090820401817018
bubbles1,run-1782686546_i9,0.7,4,0.6855319423711191,0.6009759568952371
bubbles1,run-1782686546_i9,0.8,0,0.8096652171757102,0.5676610748143105
